Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_Ranking,University_GPA,Field_of_Study,Starting_Salary,Current_Job_Level,Entrepreneurship,
S01028,25,Other,2.42,1032,701,3.94,Business,38000,Executive,Yes,
S01029,27,Male,2.68,1426,84,2.99,Mathematics,82300,Entry,No,
S01030,20,Female,3.62,1025,225,2.58,Computer Science,55200,Entry,Yes,
S01031,29,Male,3.39,1244,991,3.54,Medicine,70700,Executive,No,
S01032,22,Male,3.53,916,680,2.26,Mathematics,33500,Executive,No,
S01033,23,Male,2.88,1461,186,3.53,Arts,66900,Mid,No,
S01034,27,Female,3.43,1546,375,3.64,Medicine,60700,Entry,No,
S01035,23,Male,2.77,1529,72,2.25,Business,55700,Entry,No,
S01036,21,Male,2.42,1277,74,3.95,Engineering,34200,Mid,No,
S01037,20,Female,3.27,959,897,3.97,Law,39400,Mid,No,
S01038,21,Female,3.95,1536,341,3.87,Arts,59800,Entry,Yes,
S01039,18,Male,2.62,1366,153,2.99,Business,39400,Mid,No,
S01040,21,Male,2.92,1527,96,2.49,Arts,37600,Entry,Yes,
S01041,18,Male,3.35,1290,565,3.16,Engineering,42400,Senior,No,
S01042,29,Male,3.08,1584,445,2.84,Computer Science,57500,Mid,No,
S01043,18,Female,3.69,1086,686,2.41,Mathematics,71300,Executive,No,
S01044,27,Female,3.52,1397,110,2.85,Computer Science,56200,Mid,No,
S01045,23,Female,2.12,1499,458,3.33,Law,68300,Entry,No,
S01046,22,Male,4,1260,828,2.14,Computer Science,47900,Entry,No,
S01047,28,Female,3.5,1348,51,2.67,Mathematics,80600,Mid,Yes,
S01048,21,Female,3.73,1593,377,2.04,Mathematics,70000,Entry,No,
S01049,28,Female,3.3,1579,765,3.5,Engineering,63400,Senior,No,
S01050,20,Female,3.71,1080,73,3.28,Medicine,56900,Entry,No,
S01051,18,Female,2.22,1029,212,2.13,Engineering,56000,Senior,No,
S01052,23,Female,2.7,1048,432,3.93,Engineering,27600,Entry,No,
S01053,19,Male,3.75,1371,724,2.05,Business,26900,Entry,Yes,
S01054,25,Female,2.4,1522,763,3.18,Computer Science,59800,Entry,Yes,
S01055,27,Female,2.16,1399,168,3.55,Arts,51100,Mid,No,
S01056,22,Female,3.58,1548,775,3.58,Mathematics,58400,Mid,No,
S01057,24,Male,3.67,1254,331,2.07,Law,33100,Entry,No,
S01058,27,Female,2.33,1110,981,3.81,Medicine,72800,Entry,No,
S01059,29,Female,3.71,1557,742,3.84,Mathematics,47000,Entry,No,
S01060,19,Male,3.37,1495,751,3.12,Arts,55700,Entry,No,
S01061,25,Male,3.04,929,787,2.96,Business,42500,Senior,Yes,
S01062,19,Female,3.66,1476,494,2.09,Business,54900,Mid,No,
S01063,21,Female,2.84,923,143,3.12,Medicine,85700,Entry,No,
S01064,18,Female,2.39,1121,582,2.82,Arts,67400,Entry,No,
S01065,22,Male,2.57,1501,445,3.55,Medicine,41500,Entry,No,
S01066,26,Female,3.01,1517,824,2.81,Medicine,34900,Mid,Yes,
S01067,18,Male,3.06,1583,394,3.37,Computer Science,55300,Senior,No,
S01068,26,Male,3.61,1488,512,2.2,Arts,45000,Mid,No,
S01069,28,Male,3.58,1479,686,2.27,Computer Science,39800,Mid,No,
S01070,25,Male,3.16,1300,848,2.28,Mathematics,79800,Entry,No,
S01071,23,Male,3.56,1503,621,2.09,Computer Science,25000,Executive,No,
S01072,24,Male,2.38,1411,715,3.08,Mathematics,60700,Entry,No,
S01073,20,Male,2.1,987,697,3.59,Law,79100,Senior,No,
S01074,18,Male,3.75,1364,803,3.22,Computer Science,32600,Entry,No,
S01075,22,Female,2.15,949,328,3.15,Engineering,43700,Entry,No,
S01076,29,Female,2.49,1002,604,3.36,Business,45100,Entry,Yes,
S01077,29,Male,3.39,1267,259,2.68,Business,74100,Entry,No,
S01078,19,Female,2.82,1391,834,2.72,Engineering,49600,Entry,No,
S01079,22,Male,3.75,1457,437,2.63,Mathematics,80700,Entry,No,
S01080,25,Female,2.6,1590,718,3.42,Mathematics,62800,Mid,No,
S01081,28,Male,2.02,1167,564,2.32,Medicine,44700,Mid,No,
S01082,26,Male,2.6,1296,349,2.03,Arts,33100,Entry,No,
S01083,19,Female,3.16,1219,693,3.19,Arts,34800,Entry,No,
S01084,29,Female,2.75,1419,950,3.88,Arts,59900,Mid,Yes,
S01085,20,Female,3.07,1348,815,3.22,Computer Science,88500,Mid,No,
S01086,20,Female,3.75,1375,515,3.57,Arts,42900,Mid,Yes,
S01087,18,Female,3.82,1489,449,3.35,Arts,40400,Executive,No,
S01088,25,Male,2.53,1139,399,2.99,Mathematics,59800,Entry,No,
S01089,23,Male,2.92,1157,596,3.44,Arts,47100,Entry,No,
S01090,29,Male,3.1,1542,214,3.65,Business,43000,Mid,Yes,
S01091,25,Male,3.9,1289,546,2.45,Engineering,73300,Senior,No,
S01092,28,Female,4,1242,562,2.67,Law,72900,Mid,No,
S01093,26,Female,2.47,1286,289,2.45,Mathematics,54300,Mid,No,
S01094,22,Male,3.45,1293,841,2.9,Medicine,40200,Mid,No,
S01095,29,Female,2.76,1582,259,3.77,Engineering,55800,Entry,No,
S01096,20,Female,2.02,1558,258,2.69,Arts,65400,Entry,No,
S01097,22,Male,2.02,1169,388,2.75,Medicine,70200,Entry,No,
S01098,22,Male,2.92,1048,784,3.72,Medicine,66900,Entry,No,
S01099,22,Male,2.98,1279,694,3.03,Engineering,25000,Entry,No,
S01100,20,Male,2.05,927,545,3.07,Engineering,57400,Senior,No,
S01101,28,Male,3.37,1048,265,3.72,Engineering,61600,Entry,No,
S01102,27,Female,2.59,1319,313,2.98,Mathematics,63900,Entry,No,
S01103,21,Male,3.12,1179,40,3.36,Mathematics,55400,Entry,No,
S01104,26,Male,2.6,1081,998,2.17,Law,50600,Mid,No,
S01105,27,Other,2.33,1065,820,2.36,Engineering,45600,Mid,No,
S01106,26,Female,2.81,916,210,2.81,Law,38100,Mid,No,
S01107,19,Female,2.46,1049,272,2.99,Computer Science,40500,Entry,No,
S01108,25,Male,3.07,1238,136,3.93,Business,70700,Mid,No,
S01109,25,Male,2.4,944,599,3.94,Law,60700,Mid,No,
S01110,24,Female,3.02,1401,60,3.7,Business,62400,Mid,No,
S01111,25,Male,2.31,1088,510,2.63,Arts,41500,Entry,No,
S01112,20,Male,3.34,1550,676,3.93,Computer Science,58000,Entry,No,
S01113,23,Female,3.51,960,515,3.38,Medicine,77600,Senior,No,
S01114,18,Female,2.22,1193,15,2.79,Engineering,52100,Mid,No,
S01115,24,Male,2.94,932,614,3.4,Arts,61900,Senior,Yes,
S01116,18,Female,2.14,1198,255,2.03,Medicine,42400,Entry,Yes,
S01117,26,Male,3.2,1314,737,2.29,Mathematics,44200,Entry,No,
S01118,18,Male,2.53,1523,722,3.66,Business,54300,Entry,No,
S01119,18,Male,3.06,1448,535,3.29,Medicine,39600,Entry,No,
S01120,24,Male,3.03,1330,235,2.73,Engineering,38800,Mid,No,
S01121,19,Male,3.85,1394,131,3,Engineering,47500,Mid,No,
S01122,22,Female,3.1,999,670,3.81,Law,53100,Entry,Yes,
S01123,25,Female,3.17,922,685,3.26,Law,40800,Entry,No,
S01124,25,Female,2.8,1319,17,2.8,Mathematics,52600,Entry,No,
S01125,20,Male,3.9,1323,882,2.24,Business,33200,Senior,Yes,
S01126,24,Male,3.55,1386,954,2.59,Engineering,52500,Entry,No,
S01127,20,Male,2.57,988,826,3.96,Computer Science,25000,Entry,No,
S01128,23,Male,3.69,1108,992,2.87,Arts,66200,Entry,No,
S01129,23,Male,2.86,1170,878,2.94,Business,26700,Mid,No,
S01130,20,Female,3.66,1305,185,3,Business,73300,Senior,Yes,
S01131,24,Female,3.65,1177,391,3.77,Medicine,56400,Entry,No,
S01132,20,Female,2.38,1105,423,3.21,Business,58900,Entry,No,
S01133,25,Male,3.4,1489,846,3.39,Mathematics,43400,Entry,No,
S01134,27,Female,2.58,1227,442,2.78,Arts,58100,Entry,No,
S01135,21,Male,2.59,1509,696,2.06,Computer Science,52800,Entry,No,
S01136,18,Male,2.59,1235,655,3.86,Medicine,32700,Entry,Yes,
S01137,21,Male,3.45,1505,556,3.9,Arts,61600,Senior,Yes,
S01138,24,Female,2.46,1491,12,3.9,Law,37500,Senior,Yes,
S01139,28,Other,2,937,520,3.89,Business,85100,Senior,No,
S01140,21,Male,3.43,1127,80,3.63,Mathematics,38200,Mid,No,
S01141,23,Female,2.34,1382,809,3.37,Engineering,25700,Entry,No,
S01142,26,Female,2.21,1033,674,3.69,Law,75400,Entry,No,
S01143,18,Male,2.48,1289,302,3.2,Engineering,61700,Mid,No,
S01144,22,Male,2.76,1512,216,2.27,Arts,56800,Mid,No,
S01145,28,Male,2.95,1324,248,2.78,Computer Science,41700,Mid,No,
S01146,24,Other,2.09,1486,541,3.94,Engineering,51000,Mid,Yes,
S01147,18,Male,3.94,1409,272,2.7,Mathematics,47600,Senior,No,
S01148,21,Female,3.43,1494,133,3.74,Arts,63400,Mid,No,
S01149,23,Male,2.65,1326,5,2.19,Medicine,41100,Entry,No,
S01150,19,Female,2.64,1554,756,2.67,Business,42500,Entry,No,
S01151,27,Male,2.9,1373,542,2.7,Computer Science,60800,Entry,No,
S01152,22,Female,3.25,1467,629,2.1,Mathematics,69900,Mid,Yes,
S01153,28,Female,2.29,1260,690,2.24,Mathematics,44200,Entry,No,
S01154,27,Female,2.38,1110,773,2.39,Computer Science,59700,Entry,No,
S01155,18,Female,3.72,1078,747,3.68,Medicine,65600,Executive,No,
S01156,23,Male,2.51,957,141,2.13,Computer Science,36200,Entry,No,
S01157,23,Female,2.76,972,483,2.6,Arts,45800,Entry,No,
S01158,21,Male,3.74,1114,305,2.02,Computer Science,25000,Entry,No,
S01159,25,Male,3.33,972,345,3.39,Computer Science,80900,Senior,No,
S01160,21,Female,2.68,1366,562,3.24,Computer Science,53700,Senior,No,
S01161,25,Male,3.37,1170,270,3.29,Arts,63700,Mid,No,
S01162,25,Female,2.04,1398,108,2.75,Law,44100,Mid,No,
S01163,22,Other,3.47,1253,558,2.42,Business,42600,Executive,No,
S01164,21,Male,2.97,1133,474,3.44,Engineering,48400,Entry,No,
S01165,29,Female,3.63,1218,82,3.62,Law,47400,Entry,No,
S01166,19,Male,3.91,918,638,2.28,Computer Science,85500,Entry,Yes,
S01167,28,Male,3.85,1524,84,2.97,Medicine,56000,Entry,No,
S01168,20,Male,3.82,1474,290,2.5,Mathematics,60200,Entry,No,
S01169,20,Female,3.02,1271,71,2.34,Medicine,50300,Senior,No,
S01170,21,Female,2.72,1083,175,3.47,Arts,51200,Entry,No,
S01171,21,Female,2.93,1176,828,3.08,Business,60200,Senior,No,
S01172,27,Other,3.38,1573,842,2.43,Computer Science,49500,Mid,No,
S01173,28,Male,3.77,1044,463,2.62,Arts,71000,Entry,Yes,
S01174,28,Male,2.41,1557,849,3.93,Engineering,37600,Executive,Yes,
S01175,22,Female,3.84,980,395,3.7,Business,68200,Mid,No,
S01176,21,Female,3.63,1221,866,3.76,Business,67500,Mid,Yes,
S01177,28,Male,3.96,1334,91,2.92,Arts,81300,Entry,No,
S01178,27,Male,3.76,942,469,3.25,Law,25000,Mid,No,
S01179,25,Female,2.56,1212,863,2.75,Mathematics,66200,Entry,No,
S01180,23,Female,2.21,1192,434,2.16,Medicine,40000,Entry,No,
S01181,23,Male,2.22,1587,249,2.8,Law,63400,Entry,No,
S01182,25,Male,2.58,968,644,3.19,Business,63300,Entry,Yes,
S01183,24,Female,3.23,955,681,2.57,Medicine,37200,Mid,No,
S01184,27,Female,3.61,1530,955,3.7,Business,60700,Mid,Yes,
S01185,28,Male,3.8,1103,572,2.3,Mathematics,44900,Entry,No,
S01186,29,Female,3.25,1319,881,2.73,Business,39600,Mid,No,
S01187,27,Male,2.01,1466,849,2.25,Business,25000,Entry,No,
S01188,25,Male,2.37,1449,241,2.81,Engineering,71200,Entry,No,
S01189,19,Female,2.2,1142,702,2.08,Medicine,48600,Entry,No,
S01190,26,Female,2.73,1100,496,2.55,Engineering,34200,Mid,No,
S01191,18,Male,3,1373,340,2.8,Medicine,54800,Mid,No,
S01192,25,Female,2.09,1426,793,2.96,Mathematics,51600,Entry,No,
S01193,29,Female,2.7,1555,744,3.09,Mathematics,36200,Entry,Yes,
S01194,28,Female,2.36,976,471,2.55,Engineering,36500,Entry,No,
S01195,29,Female,3.29,1377,463,3.05,Engineering,66600,Mid,Yes,
S01196,29,Female,2.93,1339,801,3.02,Engineering,53200,Senior,No,
S01197,21,Female,2.99,1162,275,2.63,Mathematics,40300,Mid,No,
S01198,21,Male,2.86,1084,825,3.66,Mathematics,44300,Entry,Yes,
S01199,22,Male,3.91,954,15,3.09,Arts,44500,Mid,No,
S01200,25,Male,2.43,1207,41,2.66,Engineering,25000,Executive,No,
S01201,22,Female,3.03,1415,965,3.89,Law,64100,Senior,No,
S01202,25,Female,3.47,1198,208,3.69,Law,44500,Executive,Yes,
S01203,27,Male,3.11,1451,60,3.97,Business,47700,Mid,Yes,
S01204,18,Male,3.86,1129,365,3.38,Computer Science,58400,Entry,No,
S01205,29,Female,2.76,1276,240,2.76,Engineering,68700,Senior,No,
S01206,27,Male,2.93,1185,608,2.56,Computer Science,53000,Senior,Yes,
S01207,26,Female,2.18,1037,790,3.33,Computer Science,33600,Entry,No,
S01208,23,Male,3.22,1377,939,3.96,Business,46300,Mid,Yes,
S01209,20,Female,2.58,1514,160,3.25,Computer Science,49000,Senior,No,
S01210,25,Female,2.32,906,397,3.76,Mathematics,25000,Senior,No,
S01211,26,Male,3.09,1575,934,2.66,Computer Science,57100,Mid,No,
S01212,23,Male,3.06,1318,794,2.81,Mathematics,59900,Mid,No,
S01213,28,Male,2.15,1371,500,3.81,Mathematics,51400,Mid,No,
S01214,24,Female,3.4,1319,209,3.51,Law,37500,Mid,No,
S01215,18,Female,3.25,1175,133,3.96,Mathematics,53200,Entry,No,
S01216,22,Male,2.38,1460,381,3.55,Computer Science,65400,Entry,No,
S01217,22,Female,2.94,1507,433,2.9,Medicine,46700,Mid,No,
S01218,27,Female,3.44,1470,609,3.06,Engineering,62000,Entry,Yes,
S01219,21,Male,3.06,1588,731,3.8,Engineering,56500,Mid,No,
S01220,23,Male,2.79,989,389,3.1,Computer Science,25000,Entry,No,
S01221,24,Female,2.64,1181,997,2.51,Business,42300,Mid,No,
S01222,26,Female,3.22,1447,583,2.87,Medicine,57800,Mid,No,
S01223,18,Female,3.88,1070,432,3.03,Business,52000,Senior,No,
S01224,23,Female,3.34,1537,274,2.19,Business,64100,Mid,No,
S01225,24,Female,2.15,1254,351,3.49,Computer Science,53500,Mid,No,
S01226,20,Male,2.92,1103,134,2.22,Arts,59800,Entry,No,
S01227,25,Female,3.78,1188,66,2.81,Computer Science,45000,Entry,No,
S01228,22,Female,2.19,1361,639,3.61,Law,55000,Entry,No,
S01229,26,Female,3.98,1508,205,2.94,Arts,34700,Senior,No,
S01230,22,Male,3.9,1072,298,3.68,Mathematics,63000,Mid,No,
S01231,26,Male,2.16,1200,117,2.68,Medicine,54100,Entry,No,
S01232,27,Male,3.87,1499,948,3.92,Arts,31800,Mid,No,
S01233,21,Male,2.73,1428,267,2.42,Computer Science,46600,Entry,No,
S01234,26,Male,3.69,1039,794,2.08,Computer Science,87500,Entry,No,
S01235,22,Female,2.84,1177,149,3.74,Business,47100,Entry,No,
S01236,27,Female,2.88,1562,194,3.5,Computer Science,45400,Entry,Yes,
S01237,26,Male,3.27,1410,680,2.46,Mathematics,38600,Entry,No,
S01238,20,Female,3.55,1245,824,3.97,Law,33800,Executive,Yes,
S01239,21,Male,2.07,1039,886,3,Computer Science,35300,Mid,No,
S01240,26,Male,3.19,1013,179,3.9,Engineering,80300,Mid,No,
S01241,27,Male,2.37,1479,148,3.01,Engineering,55500,Mid,No,
S01242,28,Female,2.69,1406,465,2.94,Business,28800,Entry,No,
S01243,23,Male,2.7,1265,976,2.9,Arts,50300,Executive,No,
S01244,19,Male,2.94,1590,569,2.67,Arts,65400,Executive,No,
S01245,24,Male,2.67,1536,5,3.07,Engineering,56400,Mid,No,
S01246,19,Female,2.21,1296,526,2.91,Law,29400,Entry,No,
S01247,28,Male,2.29,1558,280,2.07,Medicine,59700,Senior,No,
S01248,19,Female,2.07,1010,499,2.52,Mathematics,50500,Entry,No,
S01249,28,Female,2.94,1257,836,2.43,Mathematics,53200,Mid,No,
S01250,18,Female,3.91,1137,436,3.73,Mathematics,77800,Entry,Yes,
S01251,28,Female,2.23,902,816,3.2,Law,49700,Entry,No,
S01252,28,Male,3.89,1303,216,3.53,Engineering,39500,Senior,Yes,
S01253,29,Male,3.47,924,687,3.91,Mathematics,25000,Executive,No,
S01254,28,Female,3.27,1408,828,3.29,Law,39600,Senior,No,
S01255,20,Male,3.29,1595,969,3.97,Medicine,38700,Entry,No,
S01256,23,Female,3.65,1364,515,2.62,Arts,25000,Entry,No,
S01257,25,Female,2.21,960,887,2.37,Engineering,60100,Executive,No,
S01258,26,Female,3.01,1407,137,2.81,Computer Science,57600,Entry,Yes,
S01259,24,Female,3.39,1022,978,2.94,Mathematics,49600,Mid,No,
S01260,21,Other,3.17,1396,612,3.79,Medicine,35100,Entry,Yes,
S01261,23,Female,3.67,954,595,3.12,Medicine,53700,Entry,No,
S01262,22,Male,2.14,1062,280,2.58,Medicine,59400,Senior,No,
S01263,25,Female,3.38,1598,132,3.49,Arts,76500,Entry,Yes,
S01264,18,Male,3.07,938,393,3.01,Law,55200,Mid,No,
S01265,18,Male,2.76,1596,481,2.32,Business,56900,Entry,No,
S01266,28,Female,2.68,982,513,3.15,Mathematics,52500,Entry,No,
S01267,23,Male,3.24,1445,628,3.82,Computer Science,47100,Entry,No,
S01268,27,Male,3.78,1012,419,3.69,Mathematics,61700,Mid,Yes,
S01269,29,Male,2.99,1324,202,3.17,Engineering,49200,Executive,Yes,
S01270,19,Female,3.65,1129,652,2.75,Law,47800,Senior,No,
S01271,22,Female,2.8,1182,658,2.17,Medicine,44500,Mid,No,
S01272,18,Female,2.2,1186,462,2.94,Mathematics,45600,Mid,No,
S01273,24,Male,2.12,1054,778,3.5,Arts,55100,Senior,No,
S01274,18,Female,2.1,1064,202,2.72,Medicine,59300,Entry,No,
S01275,21,Female,2.76,1081,914,2.47,Law,39200,Mid,No,
S01276,26,Male,2.67,1138,152,3.86,Engineering,53200,Senior,No,
S01277,18,Male,3.44,1548,897,3.64,Computer Science,36600,Mid,No,
S01278,21,Male,3.49,1238,222,3.28,Medicine,59500,Entry,No,
S01279,23,Other,2.1,1411,79,2.27,Mathematics,72100,Mid,No,
S01280,23,Female,2.44,1165,200,2.29,Mathematics,58300,Entry,No,
S01281,29,Female,2.55,1086,762,2.21,Arts,45200,Senior,No,
S01282,25,Male,3.1,939,99,3.23,Arts,65400,Mid,No,
S01283,18,Female,2.29,1392,978,2.23,Business,31500,Senior,Yes,
S01284,24,Female,2.27,1578,912,3.69,Arts,54500,Entry,Yes,
S01285,18,Female,3.89,1290,213,3.99,Business,92400,Executive,No,
S01286,24,Other,3.61,1159,143,2.73,Computer Science,36800,Mid,No,
S01287,20,Male,2.36,1554,702,2.91,Engineering,45100,Senior,No,
S01288,28,Male,2.81,1075,389,3.42,Business,46700,Mid,No,
S01289,25,Female,2.71,1228,813,3.87,Medicine,33200,Entry,No,
S01290,20,Female,3.58,1099,374,3.79,Law,38700,Entry,No,
S01291,18,Female,3.02,1095,52,2.12,Mathematics,50400,Entry,No,
S01292,25,Male,2.26,1488,967,2.34,Medicine,74100,Mid,No,
S01293,20,Female,3.48,1430,624,3.51,Mathematics,57200,Entry,Yes,
S01294,19,Male,2.79,961,135,3.38,Engineering,66800,Mid,No,
S01295,18,Male,2.53,1226,411,2.27,Arts,62500,Mid,No,
S01296,20,Female,2.75,1180,985,3,Law,55200,Entry,No,
S01297,19,Female,3,1126,470,3.56,Medicine,25000,Entry,No,
S01298,19,Male,2.69,1538,112,2.44,Law,74200,Entry,No,
S01299,23,Male,2.48,957,525,3.74,Business,65400,Senior,No,
S01300,29,Male,2.8,1376,785,2.11,Engineering,54200,Entry,No,
S01301,18,Male,2.04,1275,745,3.56,Medicine,30800,Entry,No,
S01302,19,Female,3.54,1142,44,3.23,Arts,28100,Mid,No,
S01303,23,Female,2.34,1266,397,2.63,Law,32000,Mid,No,
S01304,20,Male,2.09,1399,986,3.44,Arts,39700,Entry,No,
S01305,21,Female,3.31,1151,585,3.56,Law,55500,Entry,No,
S01306,18,Female,3.55,1221,261,3.87,Medicine,46300,Entry,No,
S01307,25,Female,3.63,1275,743,2.74,Engineering,51400,Entry,No,
S01308,24,Male,2.99,1308,545,3.37,Computer Science,58300,Entry,No,
S01309,24,Female,2.41,1387,388,3.21,Medicine,69600,Entry,No,
S01310,20,Male,3.47,1242,476,3.05,Arts,40600,Entry,Yes,
S01311,27,Male,3.4,1139,410,3.78,Computer Science,25000,Entry,No,
S01312,27,Male,2.49,1038,580,2.01,Engineering,38000,Mid,No,
S01313,20,Female,3.81,1021,16,2.56,Arts,59000,Mid,No,
S01314,19,Male,2.21,1319,997,3.08,Engineering,62600,Senior,Yes,
S01315,29,Male,3.97,1460,662,2.36,Law,62900,Senior,No,
S01316,18,Male,3.72,1203,804,3.82,Medicine,39600,Senior,No,
S01317,24,Female,3.38,1014,102,3.3,Engineering,54900,Entry,No,
S01318,24,Female,3.88,1242,186,2.96,Arts,72800,Entry,Yes,
S01319,29,Male,3.44,1150,951,3.63,Medicine,61300,Mid,No,
S01320,19,Female,2.38,906,931,2.9,Mathematics,25000,Senior,No,
S01321,24,Female,2.88,1488,25,3.12,Arts,49300,Mid,No,
S01322,25,Female,2.14,1078,72,2.01,Arts,45000,Entry,No,
S01323,18,Male,2.78,1044,593,2.73,Mathematics,27600,Mid,Yes,
S01324,26,Female,3.48,1315,573,2.28,Mathematics,72000,Entry,No,
S01325,24,Female,2.77,1565,18,3.38,Computer Science,29200,Senior,No,
S01326,20,Female,2.66,1020,754,2.96,Business,48500,Mid,No,
S01327,25,Male,3.19,1023,570,2.6,Engineering,69600,Mid,No,
S01328,24,Female,3.74,1049,332,2.94,Engineering,36800,Entry,No,
S01329,28,Female,2.1,1296,889,2.42,Computer Science,49500,Mid,No,
S01330,25,Female,2.77,1280,569,3.85,Law,57300,Mid,No,
S01331,23,Male,2.32,900,97,2.11,Engineering,38000,Mid,Yes,
S01332,26,Male,3.39,1572,727,3.73,Mathematics,41400,Senior,No,
S01333,22,Female,2.21,1143,831,3.02,Computer Science,54500,Mid,No,
S01334,20,Female,3.33,1297,12,3.24,Engineering,59600,Mid,Yes,
S01335,20,Male,2.57,1150,11,2.61,Engineering,61800,Senior,No,
S01336,18,Female,2.4,1475,909,3.93,Arts,35500,Entry,Yes,
S01337,29,Male,3.87,1198,163,2.56,Computer Science,25600,Entry,No,
S01338,25,Female,2.04,1196,283,3.18,Mathematics,62800,Mid,No,
S01339,19,Female,2.88,1399,729,3.99,Law,68700,Entry,No,
S01340,20,Female,2.04,1014,872,3.76,Engineering,88900,Entry,No,
S01341,25,Female,2.97,900,835,3.07,Law,96900,Entry,No,
S01342,25,Male,3,1452,241,3.98,Business,76400,Mid,No,
S01343,28,Female,2.64,1584,857,3.4,Computer Science,34500,Entry,No,
S01344,21,Male,2.26,1499,45,2.42,Computer Science,47100,Entry,Yes,
S01345,21,Female,2.75,1381,970,2.81,Computer Science,59700,Entry,Yes,
S01346,22,Female,3.34,1509,593,2.67,Mathematics,56900,Mid,No,
S01347,23,Female,3.56,1499,255,2.69,Mathematics,47500,Entry,No,
S01348,22,Male,3.06,1409,67,3.52,Arts,69900,Executive,Yes,
S01349,24,Female,3.18,1234,918,3.17,Computer Science,42500,Mid,No,
S01350,19,Male,2.4,1364,614,2.08,Arts,53400,Entry,No,
S01351,24,Male,2.57,1040,974,3.75,Mathematics,51100,Mid,No,
S01352,27,Female,2.32,1482,603,2.59,Business,57200,Entry,No,
S01353,24,Male,2.5,1036,42,3.99,Medicine,58200,Senior,No,
S01354,18,Female,2.45,1510,788,3.91,Arts,37100,Entry,No,
S01355,24,Male,3.04,1562,816,3.88,Engineering,25000,Entry,No,
S01356,22,Male,3.13,1586,786,3.62,Computer Science,43100,Mid,No,
S01357,20,Female,3.89,1066,384,2.44,Medicine,53700,Entry,No,
S01358,20,Female,2.39,1242,589,3.07,Arts,57400,Mid,No,
S01359,21,Male,3.28,1309,234,2.45,Law,40800,Senior,Yes,
S01360,29,Female,3.63,964,966,2.52,Mathematics,54400,Mid,No,
S01361,19,Female,3.12,1480,714,3.22,Law,54000,Entry,No,
S01362,19,Female,2.51,966,485,2.08,Engineering,40000,Senior,Yes,
S01363,18,Male,2.53,1332,733,3.94,Medicine,47600,Entry,Yes,
S01364,22,Female,2.08,949,774,3.84,Business,32000,Mid,No,
S01365,21,Female,2.61,1213,39,2.76,Arts,25000,Mid,No,
S01366,28,Female,3.49,1208,11,3.03,Law,68300,Entry,No,
S01367,27,Male,2.1,1502,624,2.93,Law,53000,Mid,No,
S01368,19,Female,2.44,1014,409,3.76,Arts,44900,Mid,No,
S01369,20,Female,3.41,1468,108,3.38,Law,55700,Senior,No,
S01370,24,Female,3.57,1241,94,2.56,Business,57000,Entry,No,
S01371,24,Male,2.91,1429,823,2.89,Law,80300,Entry,Yes,
S01372,29,Female,3.4,1541,84,2.86,Arts,70100,Entry,No,
S01373,21,Female,2.78,1394,58,3.92,Computer Science,55300,Mid,No,
S01374,22,Male,2.32,1168,293,2.35,Law,82200,Mid,No,
S01375,22,Male,2.8,979,16,2.18,Arts,48600,Entry,No,
S01376,23,Female,3.16,1355,991,3.76,Computer Science,68200,Entry,No,
S01377,26,Male,3.9,1198,477,3.79,Law,42000,Entry,No,
S01378,19,Other,2.14,1101,838,3.74,Law,50800,Mid,No,
S01379,22,Female,3.01,1402,605,3.02,Arts,60100,Senior,No,
S01380,29,Female,2.66,1570,992,3.32,Engineering,53300,Entry,No,
S01381,20,Male,3.02,1548,969,3.13,Engineering,54400,Mid,No,
S01382,21,Male,2.05,1384,165,2.14,Medicine,53800,Mid,No,
S01383,27,Female,2.63,1484,437,3.19,Engineering,69600,Entry,No,
S01384,23,Male,3.64,1459,727,2.03,Business,51500,Mid,Yes,
S01385,29,Female,3.11,917,656,2.65,Medicine,41100,Mid,No,
S01386,25,Male,2.9,1377,786,3.86,Engineering,49200,Entry,No,
S01387,18,Male,2.57,1387,403,2.61,Computer Science,69400,Senior,No,
S01388,27,Male,2.6,1345,940,3.88,Mathematics,62800,Mid,Yes,
S01389,25,Female,2.77,1239,386,2.5,Arts,48400,Entry,No,
S01390,28,Other,3.67,1430,954,2.63,Engineering,38400,Executive,No,
S01391,24,Male,3.93,1511,138,3.26,Computer Science,41700,Entry,Yes,
S01392,18,Male,2.88,1015,716,3.52,Mathematics,49800,Mid,Yes,
S01393,19,Male,2.79,973,814,3,Medicine,48800,Mid,Yes,
S01394,20,Female,3.69,1168,722,3.76,Arts,39100,Mid,Yes,
S01395,18,Male,2.85,1536,531,2.08,Engineering,64300,Mid,No,
S01396,26,Female,3.1,1015,806,3.84,Medicine,41500,Entry,No,
S01397,25,Female,2.46,1585,293,2.39,Engineering,36400,Entry,No,
S01398,19,Female,3.49,1592,475,3.77,Medicine,47000,Mid,No,
S01399,26,Male,3.06,1568,880,2.8,Engineering,57000,Mid,No,
S01400,24,Other,3.62,1063,462,3.67,Mathematics,36200,Executive,No,
S01401,26,Male,3.56,1482,813,3.34,Computer Science,50800,Mid,No,
S01402,23,Male,2.43,1121,373,2.35,Business,43500,Entry,Yes,
S01403,23,Female,3.43,1025,162,3.84,Mathematics,45100,Entry,No,
S01404,28,Female,3.6,1556,642,2.49,Computer Science,49900,Mid,No,
